Event,Pid,RT,HumanProbability,SequencePosition,Suspect,WitnessGender,Claim,Context,ContextDegree,ContextCat
3,767850,25771.0299999453,1,0,1,3,3,0,NaN,NaN
8,767850,4356.47500003688,1,1,1,1,1,0,NaN,NaN
13,767850,2596.46000014618,1,2,1,0,0,0,1,1
16,767850,10995.9249999374,5,3,1,1,1,0,0.5,NaN
20,767850,6220.04000004381,5,4,1,1,0,0,0.666666666666667,1
24,767850,3448.02499981597,10,5,1,0,1,0,0.5,NaN
28,767850,3611.23499996029,10,6,1,0,0,0,0.6,1
32,767850,2795.69000005722,5,7,1,1,0,0,0.5,NaN
36,767850,2456.06999984011,3,8,1,1,0,0,0.428571428571429,0
40,767850,2555.14999991283,1,9,1,0,0,0,0.375,0
44,767850,3129.71500004642,3,10,1,0,1,0,0.333333333333333,0
187,767852,17043.9000000479,55,0,1,3,3,0,NaN,NaN
192,767852,8651.00000001257,50,1,1,0,0,0,NaN,NaN
196,767852,11511.3000000129,50,2,1,1,1,0,0,0
200,767852,14842.1000000089,45,3,1,1,0,0,0.5,NaN
204,767852,10835.2000000305,50,4,1,0,1,0,0.333333333333333,0
208,767852,10714.0999999829,40,5,1,1,0,0,0.5,NaN
212,767852,7649.79999995558,36,6,1,0,0,0,0.4,0
216,767852,8709.90000001621,30,7,1,0,0,0,0.333333333333333,0
220,767852,4727.4000000325,40,8,1,0,1,0,0.285714285714286,0
224,767852,20336.500000034,35,9,1,1,1,0,0.375,0
228,767852,11586.8999999948,25,10,1,1,0,0,0.444444444444444,0
1568,767853,6739,36,0,1,3,3,0,NaN,NaN
1573,767853,6467,24,1,1,0,1,0,NaN,NaN
1578,767853,3076,29,2,1,1,0,0,1,1
1581,767853,1990,35,3,1,0,0,0,0.5,NaN
1585,767853,2004,28,4,1,1,1,0,0.333333333333333,0
1589,767853,2359,33,5,1,1,1,0,0.5,NaN
1593,767853,1759,27,6,1,1,0,0,0.6,1
1597,767853,1673,28,7,1,0,0,0,0.5,NaN
1601,767853,2901,29,8,1,1,0,0,0.428571428571429,0
1605,767853,2359,29,9,1,0,0,0,0.375,0
1609,767853,1841,26,10,1,0,1,0,0.333333333333333,0
141,767856,13176.0249999352,50,0,1,3,3,0,NaN,NaN
146,767856,11963.5599998292,10,1,1,1,0,0,NaN,NaN
150,767856,9714.58999998868,30,2,1,0,1,0,0,0
154,767856,5983.38500014506,10,3,1,1,0,0,0.5,NaN
158,767856,10128.0000000261,30,4,1,1,0,0,0.333333333333333,0
162,767856,7298.32500009798,10,5,1,0,0,0,0.25,0
166,767856,9047.71000007167,30,6,1,1,1,0,0.2,0
170,767856,5188.06999991648,10,7,1,0,0,0,0.333333333333333,0
174,767856,8798.14500012435,30,8,1,0,1,0,0.285714285714286,0
178,767856,5962.53999997862,30,9,1,1,1,0,0.375,0
182,767856,6798.68000000715,10,10,1,0,0,0,0.444444444444444,0
49,767862,6760.09999999997,37,0,1,3,3,0,NaN,NaN
54,767862,10884.1,32,1,1,0,1,0,NaN,NaN
58,767862,6016.99999999983,33,2,1,1,1,0,1,1
62,767862,6522.10000000014,30,3,1,0,0,0,1,1
66,767862,3206.69999999996,33,4,1,1,0,0,0.666666666666667,1
70,767862,3991.40000000011,35,5,1,1,0,0,0.5,NaN
74,767862,2986.60000000018,35,6,1,0,0,0,0.4,0
78,767862,2174.70000000003,35,7,1,0,0,0,0.333333333333333,0
82,767862,5093.89999999985,36,8,1,1,1,0,0.285714285714286,0
86,767862,12166.6,14,9,1,1,0,0,0.375,0
90,767862,4096.5000000001,38,10,1,0,1,0,0.333333333333333,0
95,767864,18929.67,70,0,1,3,3,0,NaN,NaN
100,767864,7897.54999999991,68,1,1,0,1,0,NaN,NaN
104,767864,5227.13999999996,76,2,1,1,1,0,1,1
108,767864,7192.04000000014,37,3,1,0,0,0,1,1
112,767864,4056.25000000009,29,4,1,1,0,0,0.666666666666667,1
116,767864,6274.85999999999,29,5,1,1,0,0,0.5,NaN
120,767864,5164.10499999984,36,6,1,0,0,0,0.4,0
124,767864,5136.99999999994,27,7,1,1,0,0,0.333333333333333,0
128,767864,6740.97500000015,65,8,1,0,1,0,0.285714285714286,0
132,767864,6028.88000000006,27,9,1,0,0,0,0.375,0
136,767864,2502.27499999982,78,10,1,1,1,0,0.333333333333333,0
233,767866,19458,8,0,1,3,3,0,NaN,NaN
238,767866,8627,1,1,1,1,0,0,NaN,NaN
242,767866,12295,50,2,1,0,1,0,0,0
246,767866,12933,8,3,1,0,0,0,0.5,NaN
250,767866,8827,8,4,1,1,0,0,0.333333333333333,0
254,767866,9512,47,5,1,1,1,0,0.25,0
258,767866,4957,48,6,1,1,1,0,0.4,0
262,767866,8797,8,7,1,0,0,0,0.5,NaN
266,767866,3807,46,8,1,0,1,0,0.428571428571429,0
270,767866,7144,8,9,1,1,0,0,0.5,NaN
274,767866,4246,49,10,1,0,0,0,0.444444444444444,0
601,767868,28373.9449999994,10,0,1,3,3,0,NaN,NaN
606,767868,11546.9649999868,1,1,1,1,0,0,NaN,NaN
610,767868,7373.12999999267,50,2,1,1,1,0,0,0
614,767868,4694.37000001199,1,3,1,0,0,0,0.5,NaN
618,767868,3859.44500000915,50,4,1,1,1,0,0.333333333333333,0
622,767868,5825.89999999618,50,5,1,0,1,0,0.5,NaN
626,767868,3900.20000000368,1,6,1,1,0,0,0.6,1
630,767868,4388.70000001043,50,7,1,0,0,0,0.5,NaN
634,767868,4759.33000000077,1,8,1,0,0,0,0.428571428571429,0
638,767868,3698.74999998137,1,9,1,1,0,0,0.375,0
642,767868,8746.66999999317,50,10,1,0,1,0,0.333333333333333,0
279,767869,20137.1800000197,28,0,1,3,3,0,NaN,NaN
284,767869,17294.6499999962,47,1,1,1,0,0,NaN,NaN
288,767869,5989.94499997934,53,2,1,0,1,0,0,0
292,767869,4833.58500001486,50,3,1,1,1,0,0.5,NaN
296,767869,6483.3150000195,50,4,1,1,0,0,0.666666666666667,1
300,767869,6779.92000000086,50,5,1,0,0,0,0.5,NaN
304,767869,5477.13499999372,50,6,1,0,0,0,0.4,0
308,767869,5963.85000000009,51,7,1,0,0,0,0.333333333333333,0
312,767869,3869.41499996465,50,8,1,1,1,0,0.285714285714286,0
316,767869,6769.46999999927,50,9,1,0,1,0,0.375,0
320,767869,3515.78999997582,50,10,1,1,0,0,0.444444444444444,0
371,767875,21515.6650000135,35,0,1,3,3,0,NaN,NaN
376,767875,6186.66000000667,17,1,1,0,0,0,NaN,NaN
380,767875,2761.34500000626,77,2,1,0,1,0,0,0
384,767875,4400.63499999815,5,3,1,1,0,0,0.5,NaN
388,767875,3295.00499999267,5,4,1,0,0,0,0.333333333333333,0
392,767875,3193.54499998735,6,5,1,1,0,0,0.25,0
396,767875,2635.21000000765,57,6,1,1,1,0,0.2,0
400,767875,2342.64499999699,64,7,1,0,1,0,0.333333333333333,0
404,767875,2729.73000002094,16,8,1,1,0,0,0.428571428571429,0
408,767875,4831.21499998379,16,9,1,0,0,0,0.375,0
412,767875,2162.77500000433,60,10,1,1,1,0,0.333333333333333,0
325,767887,7314.53999993391,30,0,1,3,3,0,NaN,NaN
330,767887,5190.92500000261,28,1,1,1,0,0,NaN,NaN
334,767887,6349.17499986477,35,2,1,0,1,0,0,0
338,767887,2914.81500002556,27,3,1,0,0,0,0.5,NaN
342,767887,3050.50999997184,32,4,1,1,1,0,0.333333333333333,0
346,767887,3034.67999980785,22,5,1,1,0,0,0.5,NaN
350,767887,2749.77999995463,25,6,1,0,1,0,0.4,0
354,767887,2263.12000001781,23,7,1,1,0,0,0.5,NaN
358,767887,2542.8649999667,27,8,1,1,1,0,0.428571428571429,0
362,767887,5181.93500000052,20,9,1,0,0,0,0.5,NaN
366,767887,5571.27499999478,15,10,1,0,0,0,0.444444444444444,0
509,767893,19738,50,0,1,3,3,0,NaN,NaN
514,767893,15105,50,1,1,0,1,0,NaN,NaN
518,767893,7102,50,2,1,0,0,0,1,1
522,767893,20333,50,3,1,0,0,0,0.5,NaN
526,767893,7675,50,4,1,1,1,0,0.333333333333333,0
530,767893,9007,54,5,1,1,1,0,0.5,NaN
534,767893,12119,50,6,1,1,0,0,0.6,1
538,767893,13034,50,7,1,1,0,0,0.5,NaN
542,767893,10214,50,8,1,1,0,0,0.428571428571429,0
546,767893,7552,50,9,1,0,1,0,0.375,0
550,767893,9168,46,10,1,0,0,0,0.444444444444444,0
418,767899,10664.684999967,50,0,1,3,3,0,NaN,NaN
422,767899,13148.9750000183,30,1,1,0,0,0,NaN,NaN
426,767899,4670.12500000419,10,2,1,1,0,0,0,0
430,767899,4489.39500004053,1,3,1,0,0,0,0,0
434,767899,7607.28500003461,1,4,1,0,0,0,0,0
438,767899,5506.92999997409,10,5,1,0,1,0,0,0
442,767899,3341.81000001263,1,6,1,1,0,0,0.2,0
446,767899,4966.94000001298,10,7,1,1,1,0,0.166666666666667,0
450,767899,6023.71999999741,20,8,1,0,1,0,0.285714285714286,0
454,767899,4206.35499997297,10,9,1,1,0,0,0.375,0
458,767899,5806.64500000421,19,10,1,1,1,0,0.333333333333333,0
463,767902,9993.00000000017,50,0,1,3,3,0,NaN,NaN
468,767902,9670.00000000007,1,1,1,1,0,0,NaN,NaN
472,767902,4414.99999999996,1,2,1,0,0,0,0,0
476,767902,3604.00000000004,99,3,1,0,1,0,0,0
480,767902,5986.0000000001,1,4,1,1,0,0,0.333333333333333,0
484,767902,4326.99999999999,2,5,1,1,0,0,0.25,0
488,767902,2846.99999999998,98,6,1,0,1,0,0.2,0
492,767902,2661.9999999998,99,7,1,1,1,0,0.333333333333333,0
496,767902,4269.99999999999,1,8,1,0,0,0,0.428571428571429,0
500,767902,3034.00000000011,1,9,1,0,0,0,0.375,0
504,767902,3059.99999999994,99,10,1,1,1,0,0.333333333333333,0
555,767907,4886.16999999977,1,0,1,3,3,0,NaN,NaN
560,767907,8042.65999999961,39,1,1,1,1,0,NaN,NaN
564,767907,3387.42999999977,42,2,1,1,1,0,1,1
568,767907,2701.93000000017,24,3,1,1,0,0,1,1
572,767907,2756.04500000009,33,4,1,0,1,0,0.666666666666667,1
576,767907,3429.12999999999,22,5,1,0,0,0,0.75,1
580,767907,2469.44500000018,10,6,1,0,0,0,0.6,1
584,767907,2368.23000000004,4,7,1,1,0,0,0.5,NaN
588,767907,2523.94999999979,1,8,1,0,0,0,0.428571428571429,0
592,767907,2270.79000000003,1,9,1,1,0,0,0.375,0
596,767907,3081.68999999998,13,10,1,0,1,0,0.333333333333333,0
694,767911,9464.46000016294,50,0,1,3,3,0,NaN,NaN
699,767911,14644.3849999923,50,1,1,1,0,0,NaN,NaN
703,767911,8996.37999990955,50,2,1,0,0,0,0,0
707,767911,7397.459999891,50,3,1,0,1,0,0,0
711,767911,9776.61500009708,50,4,1,1,0,0,0.333333333333333,0
715,767911,7473.86000002734,50,5,1,0,0,0,0.25,0
719,767911,9942.10000010207,50,6,1,1,0,0,0.2,0
723,767911,15084.5649999101,60,7,1,1,1,0,0.166666666666667,0
727,767911,4837.31499989517,60,8,1,1,1,0,0.285714285714286,0
731,767911,3829.95500019751,60,9,1,0,1,0,0.375,0
735,767911,4822.25500000641,60,10,1,0,0,0,0.444444444444444,0
648,767919,16769.8999999993,61,0,1,3,3,0,NaN,NaN
653,767919,6618.40000000302,100,1,1,1,1,0,NaN,NaN
657,767919,7193.50000000122,27,2,1,1,0,0,1,1
661,767919,4718.09999999823,12,3,1,0,0,0,0.5,NaN
665,767919,12706.6999999988,9,4,1,1,0,0,0.333333333333333,0
669,767919,5812.5,28,5,1,0,1,0,0.25,0
673,767919,6091.09999999782,20,6,1,0,0,0,0.4,0
677,767919,6242.50000000029,29,7,1,0,1,0,0.333333333333333,0
681,767919,4426.59999999887,33,8,1,1,1,0,0.428571428571429,0
685,767919,8908.59999999884,27,9,1,0,0,0,0.5,NaN
689,767919,5632.79999999941,22,10,1,1,0,0,0.444444444444444,0
924,767922,28545,3,0,1,3,3,0,NaN,NaN
929,767922,12938,4,1,1,1,1,0,NaN,NaN
933,767922,4612,3,2,1,0,0,0,1,1
937,767922,5815,3,3,1,0,0,0,0.5,NaN
941,767922,8275,2,4,1,1,0,0,0.333333333333333,0
945,767922,4268,2,5,1,0,1,0,0.25,0
949,767922,7313,2,6,1,0,1,0,0.4,0
953,767922,5070,2,7,1,1,0,0,0.5,NaN
957,767922,6708,2,8,1,1,1,0,0.428571428571429,0
961,767922,4388,2,9,1,0,0,0,0.5,NaN
965,767922,3779,2,10,1,1,0,0,0.444444444444444,0
740,767929,8933.2750000176,60,0,1,3,3,0,NaN,NaN
745,767929,6246.93999998271,45,1,1,0,1,0,NaN,NaN
749,767929,8751.60000001779,10,2,1,1,0,0,1,1
753,767929,5600.07999994559,10,3,1,1,0,0,0.5,NaN
757,767929,7248.5250000027,60,4,1,0,1,0,0.333333333333333,0
761,767929,5432.02499998733,65,5,1,1,1,0,0.5,NaN
765,767929,6704.65500000864,40,6,1,0,0,0,0.6,1
769,767929,3729.05000002356,67,7,1,1,1,0,0.5,NaN
773,767929,2600.7549999631,34,8,1,1,0,0,0.571428571428571,1
777,767929,2400.81500000088,25,9,1,0,0,0,0.5,NaN
781,767929,1919.90999999689,17,10,1,0,0,0,0.444444444444444,0
786,767937,8350.18000000855,49,0,1,3,3,0,NaN,NaN
791,767937,4533.86000002502,5,1,1,1,0,0,NaN,NaN
795,767937,3571.49000000209,22,2,1,0,0,0,0,0
799,767937,2072.1950000152,31,3,1,0,0,0,0,0
803,767937,2125.28500001645,31,4,1,1,0,0,0,0
807,767937,3201.44500001334,61,5,1,1,1,0,0,0
811,767937,3324.26500000292,59,6,1,0,0,0,0.2,0
815,767937,3127.05499998992,59,7,1,0,1,0,0.166666666666667,0
819,767937,1858.56500000227,68,8,1,0,1,0,0.285714285714286,0
823,767937,1945.81500004278,68,9,1,1,1,0,0.375,0
827,767937,2531.33999998681,69,10,1,1,0,0,0.444444444444444,0
878,767941,5410,49,0,1,3,3,0,NaN,NaN
883,767941,7214,50,1,1,0,0,0,NaN,NaN
887,767941,5422,50,2,1,1,1,0,0,0
891,767941,3216,50,3,1,1,0,0,0.5,NaN
895,767941,2953,50,4,1,0,0,0,0.333333333333333,0
899,767941,2875,50,5,1,0,1,0,0.25,0
903,767941,3028,50,6,1,1,0,0,0.4,0
907,767941,3634,50,7,1,1,1,0,0.333333333333333,0
911,767941,2311,50,8,1,0,0,0,0.428571428571429,0
915,767941,2938,50,9,1,0,1,0,0.375,0
919,767941,3601,50,10,1,1,0,0,0.444444444444444,0
970,767942,15903,76,0,1,3,3,0,NaN,NaN
975,767942,27471,67,1,1,1,0,0,NaN,NaN
979,767942,16166,60,2,1,0,0,0,0,0
983,767942,8639,67,3,1,1,1,0,0,0
987,767942,18349,61,4,1,1,0,0,0.333333333333333,0
991,767942,10105,64,5,1,1,1,0,0.25,0
995,767942,7039.99999999999,58,6,1,1,0,0,0.4,0
999,767942,6362,64,7,1,0,1,0,0.333333333333333,0
1003,767942,7765,58,8,1,0,0,0,0.428571428571429,0
1007,767942,13315,99,9,1,0,0,0,0.375,0
1011,767942,8109.99999999997,67,10,1,0,1,0,0.333333333333333,0
832,767947,6642,29,0,1,3,3,0,NaN,NaN
837,767947,3930,20,1,1,0,0,0,NaN,NaN
841,767947,2967,42,2,1,1,1,0,0,0
845,767947,2291,29,3,1,1,0,0,0.5,NaN
849,767947,1610,27,4,1,1,0,0,0.333333333333333,0
853,767947,2104,49,5,1,0,1,0,0.25,0
857,767947,1917,37,6,1,1,0,0,0.4,0
861,767947,1734,30,7,1,1,1,0,0.333333333333333,0
865,767947,1641,20,8,1,0,0,0,0.428571428571429,0
869,767947,2009,21,9,1,0,0,0,0.375,0
873,767947,2421,28,10,1,0,1,0,0.333333333333333,0
1016,767956,6725.70499999711,50,0,1,3,3,0,NaN,NaN
1021,767956,16549.8399999997,50,1,1,0,0,0,NaN,NaN
1025,767956,3346.57000000152,50,2,1,1,0,0,0,0
1029,767956,6834.70499999385,60,3,1,0,1,0,0,0
1033,767956,3657.83000000374,60,4,1,1,1,0,0.333333333333333,0
1037,767956,10716.6849999994,55,5,1,1,0,0,0.5,NaN
1041,767956,4336.99499999784,53,6,1,0,0,0,0.4,0
1045,767956,4657.07500000281,55,7,1,1,1,0,0.333333333333333,0
1049,767956,5241.42500000016,53,8,1,1,0,0,0.428571428571429,0
1053,767956,2894.91999999882,50,9,1,0,0,0,0.375,0
1057,767956,6115.16500000289,53,10,1,0,1,0,0.333333333333333,0
1062,767960,11822,62,0,1,3,3,0,NaN,NaN
1067,767960,18398,46,1,1,0,0,0,NaN,NaN
1071,767960,3334,37,2,1,1,0,0,0,0
1075,767960,4632.00000000001,41,3,1,1,1,0,0,0
1079,767960,5822,38,4,1,1,0,0,0.333333333333333,0
1083,767960,4779,48,5,1,0,1,0,0.25,0
1087,767960,3340.00000000001,59,6,1,1,1,0,0.4,0
1091,767960,3139,49,7,1,0,0,0,0.5,NaN
1095,767960,2854.99999999999,38,8,1,1,0,0,0.428571428571429,0
1099,767960,2807,42,9,1,0,0,0,0.375,0
1103,767960,4638.00000000001,39,10,1,0,1,0,0.333333333333333,0
1108,767967,13677.9000000024,50,0,1,3,3,0,NaN,NaN
1113,767967,19142.7999999942,51,1,1,1,1,0,NaN,NaN
1117,767967,8668.1000000026,50,2,1,1,0,0,1,1
1121,767967,9172.10000000341,51,3,1,0,1,0,0.5,NaN
1125,767967,9955.90000000084,52,4,1,1,1,0,0.666666666666667,1
1129,767967,6415.49999999552,51,5,1,0,0,0,0.75,1
1133,767967,9565.60000000172,50,6,1,0,0,0,0.6,1
1137,767967,8370.00000000262,51,7,1,0,1,0,0.5,NaN
1141,767967,5048.0000000025,50,8,1,1,0,0,0.571428571428571,1
1145,767967,8115.80000000686,49,9,1,0,0,0,0.5,NaN
1149,767967,6609.09999999421,48,10,1,1,0,0,0.444444444444444,0
1246,767971,30164.9800000014,1,0,1,3,3,0,NaN,NaN
1251,767971,35750.8399999933,23,1,1,0,0,0,NaN,NaN
1255,767971,10501.4500000107,12,2,1,1,0,0,0,0
1259,767971,8158.07999999379,15,3,1,1,0,0,0,0
1263,767971,6332.58000001661,26,4,1,1,1,0,0,0
1267,767971,6218.57500000624,18,5,1,0,0,0,0.25,0
1271,767971,6127.45500000892,12,6,1,1,0,0,0.2,0
1275,767971,11760.7049999933,11,7,1,0,1,0,0.166666666666667,0
1279,767971,24367.0550000097,13,8,1,0,1,0,0.285714285714286,0
1283,767971,9616.92999998922,15,9,1,1,1,0,0.375,0
1287,767971,10680.1849999756,5,10,1,0,0,0,0.444444444444444,0
1154,767981,6888.83499987423,49,0,1,3,3,0,NaN,NaN
1159,767981,6371.604999993,47,1,1,1,0,0,NaN,NaN
1163,767981,4634.97000001371,45,2,1,1,0,0,0,0
1167,767981,3125.73500000872,49,3,1,0,1,0,0,0
1171,767981,3103.70999993756,47,4,1,0,0,0,0.333333333333333,0
1175,767981,2297.16500011273,45,5,1,1,1,0,0.25,0
1179,767981,2705.79500007443,46,6,1,0,1,0,0.4,0
1183,767981,2608.26999996789,47,7,1,1,0,0,0.5,NaN
1187,767981,2552.79500014149,43,8,1,1,1,0,0.428571428571429,0
1191,767981,3405.81499994732,44,9,1,0,0,0,0.5,NaN
1195,767981,2805.31000019982,42,10,1,0,0,0,0.444444444444444,0
1338,767984,29999.7350000776,65,0,1,3,3,0,NaN,NaN
1343,767984,8837.85500004888,80,1,1,0,1,0,NaN,NaN
1347,767984,16982.2549999226,82,2,1,0,1,0,1,1
1351,767984,15135.8999998774,67,3,1,1,0,0,1,1
1355,767984,9744.60500013083,55,4,1,1,0,0,0.666666666666667,1
1359,767984,8695.41499996558,40,5,1,0,0,0,0.5,NaN
1363,767984,4101.30500001833,25,6,1,0,0,0,0.4,0
1367,767984,5937.93500005268,15,7,1,0,0,0,0.333333333333333,0
1371,767984,6214.49499996379,35,8,1,1,1,0,0.285714285714286,0
1375,767984,6863.79999993369,25,9,1,1,0,0,0.375,0
1379,767984,4710.31500003301,40,10,1,1,1,0,0.333333333333333,0
1200,767987,13683.010000037,1,0,1,3,3,0,NaN,NaN
1205,767987,9069.80499997735,20,1,1,1,1,0,NaN,NaN
1209,767987,8158.7849999778,20,2,1,0,0,0,1,1
1213,767987,5697.88999995217,20,3,1,1,1,0,0.5,NaN
1217,767987,4341.0500001628,30,4,1,0,1,0,0.666666666666667,1
1221,767987,4261.99500006624,25,5,1,0,0,0,0.75,1
1225,767987,5317.9250000976,20,6,1,1,0,0,0.6,1
1229,767987,4488.46499994397,15,7,1,1,0,0,0.5,NaN
1233,767987,4570.1649999246,10,8,1,0,0,0,0.428571428571429,0
1237,767987,5838.28999986872,5,9,1,1,0,0,0.375,0
1241,767987,6522.55499991588,10,10,1,0,1,0,0.333333333333333,0
1292,767996,5178,41,0,1,3,3,0,NaN,NaN
1297,767996,2040,48,1,1,1,1,0,NaN,NaN
1301,767996,1939,34,2,1,0,0,0,1,1
1305,767996,2917,19,3,1,1,0,0,0.5,NaN
1309,767996,1759,36,4,1,0,1,0,0.333333333333333,0
1313,767996,1796,27,5,1,0,0,0,0.5,NaN
1317,767996,2015,14,6,1,0,0,0,0.4,0
1321,767996,1874,26,7,1,0,1,0,0.333333333333333,0
1325,767996,1601,43,8,1,1,1,0,0.428571428571429,0
1329,767996,1643,32,9,1,1,0,0,0.5,NaN
1333,767996,2440,15,10,1,1,0,0,0.444444444444444,0
1384,767998,10247.000000003,41,0,1,3,3,0,NaN,NaN
1389,767998,10002.5000000023,57,1,1,0,0,0,NaN,NaN
1393,767998,6108.39999999735,54,2,1,1,0,0,0,0
1397,767998,8751.79999999818,44,3,1,1,0,0,0,0
1401,767998,1837.79999999388,32,4,1,1,0,0,0,0
1405,767998,4336.99999999953,33,5,1,0,1,0,0,0
1409,767998,3879.60000000021,33,6,1,0,0,0,0.2,0
1413,767998,2024.49999999953,28,7,1,0,0,0,0.166666666666667,0
1417,767998,13106.4000000042,33,8,1,1,1,0,0.142857142857143,0
1421,767998,3128.70000000112,35,9,1,1,1,0,0.25,0
1425,767998,3302.49999999069,29,10,1,0,1,0,0.333333333333333,0
1522,768006,17868,1,0,1,3,3,0,NaN,NaN
1527,768006,9950,1,1,1,1,0,0,NaN,NaN
1531,768006,5462.99999999999,1,2,1,0,0,0,0,0
1535,768006,6554,10,3,1,0,1,0,0,0
1539,768006,7865,5,4,1,1,0,0,0.333333333333333,0
1543,768006,10705,15,5,1,1,1,0,0.25,0
1547,768006,5760,20,6,1,0,1,0,0.4,0
1551,768006,12452,20,7,1,0,0,0,0.5,NaN
1555,768006,7686,20,8,1,1,0,0,0.428571428571429,0
1559,768006,9729,25,9,1,1,1,0,0.375,0
1563,768006,12221,25,10,1,0,0,0,0.444444444444444,0
1430,768007,6594.66499998234,50,0,1,3,3,0,NaN,NaN
1435,768007,7777.92500000214,92,1,1,1,1,0,NaN,NaN
1439,768007,7159.3850000063,25,2,1,1,0,0,1,1
1443,768007,4103.39000000386,17,3,1,0,0,0,0.5,NaN
1447,768007,3822.42000001133,12,4,1,0,0,0,0.333333333333333,0
1451,768007,4207.16000001994,10,5,1,0,0,0,0.25,0
1455,768007,3833.3799999964,67,6,1,1,1,0,0.2,0
1459,768007,3332.03499999945,14,7,1,1,0,0,0.333333333333333,0
1463,768007,2711.58500001184,63,8,1,0,1,0,0.285714285714286,0
1467,768007,3731.83500001323,68,9,1,0,1,0,0.375,0
1471,768007,2769.70000000438,15,10,1,1,0,0,0.444444444444444,0
1476,768013,2555,19,0,1,3,3,0,NaN,NaN
1481,768013,3616,14,1,1,0,0,0,NaN,NaN
1485,768013,1793,11,2,1,0,0,0,0,0
1489,768013,1690,24,3,1,1,1,0,0,0
1493,768013,1806,17,4,1,0,0,0,0.333333333333333,0
1497,768013,2157,9,5,1,1,0,0,0.25,0
1501,768013,1913,6,6,1,1,0,0,0.2,0
1505,768013,2634,9,7,1,1,0,0,0.166666666666667,0
1509,768013,1810,15,8,1,1,1,0,0.142857142857143,0
1513,768013,1561,22,9,1,0,1,0,0.25,0
1517,768013,1664,29,10,1,0,1,0,0.333333333333333,0
1614,768026,12753,40,0,1,3,3,0,NaN,NaN
1619,768026,3631,1,1,1,0,0,0,NaN,NaN
1623,768026,2054,1,2,1,1,0,0,0,0
1627,768026,2043,100,3,1,0,1,0,0,0
1631,768026,3715,100,4,1,1,1,0,0.333333333333333,0
1635,768026,2423,100,5,1,0,1,0,0.5,NaN
1639,768026,2112,1,6,1,1,0,0,0.6,1
1643,768026,1797,100,7,1,1,1,0,0.5,NaN
1647,768026,2871.00000000001,2,8,1,0,0,0,0.571428571428571,1
1651,768026,1903,1,9,1,1,0,0,0.5,NaN
1655,768026,1807.00000000001,1,10,1,0,0,0,0.444444444444444,0
1660,768028,11554.1000002995,69,0,1,3,3,0,NaN,NaN
1665,768028,5356.39999993145,48,1,1,1,0,0,NaN,NaN
1669,768028,3783.1999999471,47,2,1,1,0,0,0,0
1673,768028,2281.29999991506,39,3,1,1,0,0,0,0
1677,768028,1915.59999994934,41,4,1,1,1,0,0,0
1681,768028,2266.30000025034,77,5,1,0,1,0,0.25,0
1685,768028,2038.50000025705,38,6,1,0,0,0,0.4,0
1689,768028,2317.70000001416,82,7,1,1,1,0,0.333333333333333,0
1693,768028,1582.90000027046,77,8,1,0,1,0,0.428571428571429,0
1697,768028,3675.80000031739,48,9,1,0,0,0,0.5,NaN
1701,768028,2321.8999998644,43,10,1,0,0,0,0.444444444444444,0
1707,768030,14418.9000000006,40,0,1,3,3,0,NaN,NaN
1712,768030,9550.29999999897,54,1,1,1,1,0,NaN,NaN
1716,768030,6610.89999999967,37,2,1,0,0,0,1,1
1720,768030,21644.5999999996,56,3,1,0,0,0,0.5,NaN
1725,768030,8998.29999999929,43,4,1,1,0,0,0.333333333333333,0
1729,768030,9525.00000000146,29,5,1,0,1,0,0.25,0
1733,768030,20644.3999999974,4,6,1,1,0,0,0.4,0
1737,768030,3331.69999999882,29,7,1,1,0,0,0.333333333333333,0
1741,768030,28137.2999999985,30,8,1,0,1,0,0.285714285714286,0
1745,768030,36877.3000000001,38,9,1,0,0,0,0.375,0
1749,768030,3667.49999999956,30,10,1,1,1,0,0.333333333333333,0
1800,768040,17831.3699999999,7,0,1,3,3,0,NaN,NaN
1805,768040,11268.1200000079,1,1,1,1,1,0,NaN,NaN
1809,768040,17108.9300000021,1,2,1,0,0,0,1,1
1813,768040,9546.22999999265,1,3,1,1,0,0,0.5,NaN
1817,768040,7530.05499999563,1,4,1,0,0,0,0.333333333333333,0
1821,768040,9796.61999999371,1,5,1,0,0,0,0.25,0
1825,768040,8759.17000000481,1,6,1,0,1,0,0.2,0
1829,768040,11036.4750000008,1,7,1,1,0,0,0.333333333333333,0
1833,768040,9159.18500001135,1,8,1,1,0,0,0.285714285714286,0
1837,768040,6428.32999999519,18,9,1,1,1,0,0.25,0
1841,768040,6752.19500000821,22,10,1,0,1,0,0.333333333333333,0
1754,768042,23016.7649999494,1,0,1,3,3,0,NaN,NaN
1759,768042,11056.7299999529,1,1,1,0,0,0,NaN,NaN
1763,768042,6965.34999995492,1,2,1,0,0,0,0,0
1767,768042,9785.56500002742,3,3,1,1,0,0,0,0
1771,768042,4550.05999992136,1,4,1,0,0,0,0,0
1775,768042,7043.05000009481,1,5,1,1,0,0,0,0
1779,768042,4106.63500009105,1,6,1,0,1,0,0,0
1783,768042,4321.75500004087,1,7,1,1,0,0,0.166666666666667,0
1787,768042,7903.82999996655,1,8,1,1,1,0,0.142857142857143,0
1791,768042,13709.9549999693,1,9,1,0,1,0,0.25,0
1795,768042,5456.80499996524,1,10,1,1,1,0,0.333333333333333,0
1846,768050,10856,53,0,1,3,3,0,NaN,NaN
